participant_id,trial_number,abandoned,goal_achieved,shape_0_type,shape_0_shade,shape_0_texture,shape_1_type,shape_1_shade,shape_1_texture,shape_2_type,shape_2_shade,shape_2_texture
m45j2qk7ziuljeeffbj84lpx,4,False,True,circle,low,plain,square,low,plain,circle,low,plain
m45j2qk7ziuljeeffbj84lpx,5,True,False,triangle,low,plain,circle,medium,plain,square,low,dots
m45j2qk7ziuljeeffbj84lpx,6,False,True,square,medium,plain,circle,low,stripes,circle,medium,plain
m45j2qk7ziuljeeffbj84lpx,7,False,True,circle,medium,plain,circle,medium,dots,circle,low,plain
m45j2qk7ziuljeeffbj84lpx,8,False,True,square,medium,plain,triangle,medium,plain,square,low,plain
m45j2qk7ziuljeeffbj84lpx,9,False,True,circle,medium,plain,circle,medium,stripes,circle,low,dots
m45j2qk7ziuljeeffbj84lpx,10,False,True,triangle,low,plain,circle,low,stripes,square,medium,dots
m45j2qk7ziuljeeffbj84lpx,11,False,True,square,medium,dots,square,medium,plain,circle,medium,stripes
m45j2qk7ziuljeeffbj84lpx,12,False,True,square,medium,stripes,triangle,low,plain,triangle,medium,plain
m45j2qk7ziuljeeffbj84lpx,13,False,True,circle,low,stripes,square,low,dots,square,low,stripes
m45j2qk7ziuljeeffbj84lpx,14,False,True,circle,medium,dots,triangle,medium,stripes,triangle,low,stripes
m45j2qk7ziuljeeffbj84lpx,15,False,True,square,low,plain,circle,medium,plain,square,medium,plain
m45j2qk7ziuljeeffbj84lpx,16,False,True,triangle,medium,plain,circle,medium,dots,square,low,stripes
m45j2qk7ziuljeeffbj84lpx,17,False,True,square,medium,dots,triangle,medium,dots,circle,medium,dots
m45j2qk7ziuljeeffbj84lpx,18,False,True,circle,medium,plain,triangle,medium,plain,square,medium,dots
m45j2qk7ziuljeeffbj84lpx,19,False,True,circle,medium,stripes,triangle,medium,plain,square,low,plain
m45j2qk7ziuljeeffbj84lpx,20,False,True,triangle,low,plain,square,medium,plain,square,low,plain
m45j2qk7ziuljeeffbj84lpx,21,False,True,square,medium,stripes,square,medium,plain,square,medium,dots
m45j2qk7ziuljeeffbj84lpx,22,False,True,circle,medium,plain,triangle,medium,plain,circle,medium,dots
m45j2qk7ziuljeeffbj84lpx,23,False,True,square,medium,stripes,triangle,low,stripes,triangle,medium,dots
3gqicanjopq8enwcvi41tl45,1,False,True,square,low,plain,circle,high,stripes,square,high,plain
3gqicanjopq8enwcvi41tl45,2,False,True,square,low,stripes,circle,low,plain,square,low,plain
3gqicanjopq8enwcvi41tl45,3,False,True,square,high,plain,circle,high,plain,square,high,stripes
3gqicanjopq8enwcvi41tl45,4,False,True,triangle,medium,plain,square,medium,plain,circle,medium,plain
