program,log_probability
"and(three(3,same),two(2,unique))",-10.268130666124039
"and(three(3,same),two(3,same))",-10.268130666124039
"and(three(3,same),two(3,unique))",-10.268130666124039
"and(three(3,same),three(1,same))",-10.268130666124039
"and(three(2,unique),three(2,same))",-10.268130666124039
"and(three(1,same),three(1,unique))",-10.268130666124039
"and(three(1,same),two(unique,(1,2)))",-10.268130666124039
"and(two(2,same),three(1,unique))",-10.268130666124039
"and(two(2,same),three(2,unique))",-10.268130666124039
"and(two(2,same),three(3,same))",-10.268130666124039
"and(two(2,same),three(3,unique))",-10.268130666124039
"and(two(2,same),two(same,(0,1)))",-10.268130666124039
"and(two(2,same),two(same,(0,2)))",-10.268130666124039
"and(two(2,same),two(same,(1,2)))",-10.268130666124039
"and(two(2,same),two(unique,(0,1)))",-10.268130666124039
"and(two(2,same),two(unique,(0,2)))",-10.268130666124039
"and(two(2,same),two(unique,(1,2)))",-10.268130666124039
"and(two(1,same),three(3,unique))",-10.268130666124039
"and(two(2,unique),two(1,same))",-10.268130666124039
"and(two(2,unique),two(1,unique))",-10.268130666124039
"and(two(2,unique),two(2,same))",-10.268130666124039
"and(two(2,unique),two(2,unique))",-10.268130666124039
"and(two(2,unique),two(3,same))",-10.268130666124039
"and(two(2,unique),two(3,unique))",-10.268130666124039
"and(two(2,unique),three(1,same))",-10.268130666124039
"and(two(2,unique),three(1,unique))",-10.268130666124039
"and(two(2,unique),three(2,same))",-10.268130666124039
"and(two(2,unique),three(2,unique))",-10.268130666124039
"and(two(2,unique),three(3,same))",-10.268130666124039
"and(two(2,unique),three(3,unique))",-10.268130666124039
"and(two(2,unique),two(same,(0,1)))",-10.268130666124039
"and(two(2,unique),two(same,(0,2)))",-10.268130666124039
"and(two(2,unique),two(same,(1,2)))",-10.268130666124039
